,filename,dominant_color_rgb,dominant_color_name,exact_color_name
194,6a431046b9f7d086776f7e1988ca300cad74cb8e.jpg,"(168, 156, 137)",brown,rosybrown
195,55d8c3810619046eb0cbee43bd3b170970b08a14.jpg,"(196, 158, 123)",brown,rosybrown
196,d8adde8684774f8c866b608dabf10486d1c4477c.jpg,"(24, 26, 23)",black,black
197,b6d0e0a5f2e72bbc68428e8905d945c8254bea64.jpg,"(56, 34, 26)",green,darkslategrey
198,09a2fc1cffd75ed9f4bfd0627133f949ccde1e5b.jpg,"(8, 7, 6)",black,black
199,8391d633a811360fe52bbaa60403339dbe3da8d1.jpg,"(55, 40, 26)",green,darkslategrey
200,9f55101b3de6738babfa6c353af5fcb83136c71f.jpg,"(169, 173, 183)",gray,darkgrey
201,b39aafb63097e437f4a31d46fa0bb15263945868.jpg,"(78, 58, 45)",green,darkolivegreen
202,9133640158c3565325754b03d37659c7f7ba96fe.jpg,"(246, 245, 245)",white,whitesmoke
203,dfd6a070a94b50cd2be58f59caae3c612826b591.jpg,"(129, 97, 59)",brown,sienna
204,ab1b7fe0677a70b1f5f67620e139b0e1ad2465bf.jpg,"(88, 68, 62)",green,darkolivegreen
205,30f8af7a0205e1b4fdee455e44828fd5c65a678c.jpg,"(70, 63, 47)",green,darkslategrey
206,6381fb20637aca207b771b53da10c67834f82a35.jpg,"(54, 57, 62)",green,darkslategrey
207,d3a29c8adf35e9f05947800e66f55db0e8099961.jpg,"(73, 47, 44)",green,darkslategrey
208,4f2cc9668bd4b701cc056ac95d2c4144f6384fa3.jpg,"(219, 216, 210)",gray,lightgrey
209,f3a0bb5114eacddef85331ca4be84b01bf8f115a.jpg,"(212, 93, 50)",brown,chocolate
210,6b69fb35db09fe55e3a0ae827468104a61595eb7.jpg,"(31, 36, 56)",green,darkslategrey
211,b0f3dde56ae615428e134ad0aac7e43b1d1e6cbc.jpg,"(26, 46, 64)",green,darkslategrey
212,98752ed3b17adccb7f8f45e47f638fb439be16d7.jpg,"(55, 68, 38)",green,darkslategrey
213,0befe3682b39c5abab9dfe68a9e5d7b8425943be.jpg,"(233, 202, 160)",brown,wheat
214,8e4496e50643603174176c0853a9b16585f185ce.jpg,"(226, 224, 222)",gray,gainsboro
215,4c7a63cf4fa0e08d343174980df18e94b7798bcd.jpg,"(244, 224, 219)",white,mistyrose
216,b4184b1e395a571a62177643a6fc9cb73accdc21.jpg,"(216, 193, 176)",gray,silver
217,3b2040a691022bf84da6b0f60bb2823a2f56eb9c.jpg,"(182, 198, 200)",gray,silver
218,cc776853a26c23108bcbedb94b15508fed434fbf.jpg,"(160, 213, 232)",blue,lightblue
219,e0ff491c54421f292b06e353a869b07520327d61.jpg,"(23, 32, 35)",black,black
220,9c746a2a95ab27b2aabf127fd65f02cfd853964e.jpg,"(103, 79, 65)",green,darkolivegreen
221,160488ff504ea9a2b66e3018ce7a7b111b35b4a8.jpg,"(30, 24, 24)",black,black
222,3d91776d35060bba81c2fdce36a83449a02abb3e.jpg,"(42, 21, 17)",black,black
223,a5c25610c7b5e50c92636e1a2630005229a7a1a8.jpg,"(15, 27, 28)",black,black
224,071bdfe05c3eaf5fa88633ad33cf0d90ac6b8e14.jpg,"(219, 221, 231)",gray,gainsboro
225,16ffd0e70231383c61ece6d403e586125622ef8f.jpg,"(210, 177, 167)",brown,tan
226,099a941431124a12261d138bbc14cc0bf26e186e.jpg,"(225, 193, 169)",brown,tan
227,bbe1c417134fc0636ac285f3acf50505d0401975.jpg,"(227, 224, 227)",gray,gainsboro
228,3049e9e439d6668d8125a68c82702ca194aa3652.jpg,"(8, 8, 8)",black,black
229,83ac86c7082a2fc57f716d569def98cb40e255a8.jpg,"(222, 163, 165)",brown,tan
230,bf9d72959a3cf77869ba0a1aff87758ae4111eb7.jpg,"(230, 229, 229)",gray,gainsboro
231,57fe5fc4cb39c5c35149936d310292ca552116d2.jpg,"(243, 230, 22)",yellow,gold
232,8bc8712d37fb65ede7e3e62921acf81c1ca7e904.jpg,"(63, 33, 27)",green,darkslategrey
233,bb2b2488c484ef547e863bf16b4cb1daec2fca28.jpg,"(92, 182, 196)",,mediumturquoise
234,33fe60fc7a7afb41dce0df5b33f5b2be27a8f7da.jpg,"(33, 19, 16)",black,black
235,8b5ce00bc0a3b515ec77dd1d0322f91c329f57a2.jpg,"(211, 201, 183)",gray,silver
236,e8f9b7685ad728e79d458db8532678e6ddbcb756.jpg,"(219, 218, 225)",gray,gainsboro
237,2a4738b88751a0398316c7b8dd868c5db67aee10.jpg,"(196, 96, 67)",red,indianred
238,c9304e030e967b881b0c4a4414ab20c462c34414.jpg,"(127, 57, 45)",brown,saddlebrown
239,9823a8596a798a8b5c9a3592ac45285e3c87381e.jpg,"(222, 200, 203)",gray,thistle
240,f779996cb2bb2fb0bc63c919c96dc87aee972bf0.jpg,"(202, 205, 205)",gray,lightgrey
241,fe7fea9e6c9a493c92691094cef064e8c41910f3.jpg,"(242, 234, 220)",white,antiquewhite
